Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"SAN ANTONIO, TX",San Antonio College,Two,Public,City,Large,20%,$5k,$40k
"HERKIMER, NY",Herkimer County Community College,Two,Public,Town,Small,35%,$11k,$39k
"COLUMBIA, SC",Columbia International University,Four,Private Nonprofit,City,Small,65%,$22k,$39k
"MORRISTOWN, TN",Tennessee College of Applied Technology-Morristown,Certificate,Public,City,Small,74%,$10k,$39k
"FORT PIERCE, FL",Indian River State College,Two,Public,Suburban,Medium,43%,$5k,$38k
"ALTUS, OK",Western Oklahoma State College,Two,Public,Town,Small,28%,$7k,$38k
"MOBERLY, MO",Moberly Area Community College,Two,Public,Town,Medium,30%,$7k,$38k
"PERRYSBURG, OH",Owens Community College,Two,Public,Suburban,Medium,41%,$10k,$37k
"MOLINE, IL",Black Hawk College,Certificate,Public,City,Medium,26%,$7k,$37k
"NEVADA, MO",Cottey College,Four,Private Nonprofit,Town,Small,59%,$18k,$35k
"WILKESBORO, NC",Wilkes Community College,Certificate,Public,Town,Small,43%,-$28,$35k
"VENTURA, CA",Ventura College,Two,Public,City,Medium,31%,$2k,$43k
"HAVERHILL, MA",Northpoint Bible College,Four,Private Nonprofit,Suburban,Small,44%,$28k,$42k
"ODESSA, TX",Odessa College,Two,Public,City,Medium,24%,$9k,$42k
"MINNEAPOLIS, MN",Minneapolis College of Art and Design,Four,Private Nonprofit,City,Small,66%,$26k,$41k
"SPARTANBURG, SC",Converse University,Four,Private Nonprofit,City,Small,57%,$20k,$41k
"TAMPA, FL",Hillsborough Community College,Two,Public,City,Large,34%,$5k,$41k
"CHARLOTTESVILLE, VA",Piedmont Virginia Community College,Two,Public,Suburban,Medium,32%,$6k,$41k
"SARASOTA, FL",Suncoast Technical College,Certificate,Public,Suburban,Small,51%,$17k,$41k
"ELIZABETH CITY, NC",Elizabeth City State University,Four,Public,Town,Small,43%,$7k,$40k
"MATTOON, IL",Lake Land College,Certificate,Public,Rural,Medium,55%,$3k,$39k
"ROANOKE, VA",Virginia Western Community College,Two,Public,City,Medium,32%,$6k,$39k
"CRYSTAL LAKE, IL",First Institute of Travel Inc.,Certificate,Private For-Profit,Suburban,Small,75%,$20k,$36k
"WEST DES MOINES, IA",Aveda Institute-Des Moines,Certificate,Private For-Profit,City,Small,98%,$15k,$36k
"MIRAMAR, FL",Concorde Career Institute-Miramar,Certificate,Private For-Profit,Suburban,Small,76%,$26k,$35k
"KANSAS CITY, MO",Concorde Career College-Broadway,Certificate,Private For-Profit,City,Small,57%,$24k,$35k
"KANSAS CITY, MO",Concorde Career College-Kansas City,Certificate,Private For-Profit,City,Small,70%,$28k,$35k
"SAN ANTONIO, TX",Concorde Career College-San Antonio,Certificate,Private For-Profit,City,Small,79%,$26k,$35k
"ORLANDO, FL",Orange Technical College-South Campus,Certificate,Public,Suburban,Small,51%,,$33k
"BOISE, ID",Boise Bible College,Four,Private Nonprofit,Suburban,Small,50%,$17k,$33k
"FORT WALTON BEACH, FL",Okaloosa Technical College,Certificate,Public,City,Small,70%,$14k,$33k
"SAN FRANCISCO, CA",California College of the Arts,Four,Private Nonprofit,City,Small,72%,$42k,$49k
"KANSAS CITY, MO",Calvary University,Four,Private Nonprofit,City,Small,35%,$13k,$45k
"POUGHKEEPSIE, NY",Dutchess Community College,Two,Public,Suburban,Medium,33%,$8k,$44k
"FULLERTON, CA",Fullerton College,Two,Public,Suburban,Large,28%,$8k,$43k
"LIMA, OH",Apollo Career Center,Certificate,Public,Suburban,Small,73%,,$43k
"PITTSBURG, CA",Los Medanos College,Two,Public,Suburban,Medium,31%,$6k,$42k
"CICERO, IL",Morton College,Two,Public,Suburban,Medium,27%,$7k,$42k
"GLENDORA, CA",Citrus College,Certificate,Public,Suburban,Medium,36%,$4k,$42k
"NICEVILLE, FL",Northwest Florida State College,Two,Public,Suburban,Medium,36%,$6k,$40k
"HARRIMAN, TN",Roane State Community College,Two,Public,Town,Medium,34%,$6k,$39k
"WEED, CA",College of the Siskiyous,Two,Public,Rural,Small,14%,$7k,$39k
"RUIDOSO, NM",Eastern New Mexico University Ruidoso Branch Community College,Two,Public,Town,Small,24%,$4k,$39k
"PORTALES, NM",Eastern New Mexico University-Main Campus,Four,Public,Town,Medium,48%,$6k,$39k
"ROSWELL, NM",Eastern New Mexico University-Roswell Campus,Certificate,Public,Town,Small,42%,$4k,$39k
"PENDLETON, OR",Blue Mountain Community College,Two,Public,Town,Small,30%,$12k,$38k
"OKLAHOMA CITY, OK",Oklahoma City Community College,Two,Public,City,Medium,17%,$5k,$38k
"CHICAGO, IL",Midwestern Career College,Two,Private For-Profit,City,Small,65%,$11k,$36k
"DANVILLE, IL",Danville Area Community College,Certificate,Public,Town,Small,32%,$3k,$35k
"BATESVILLE, AR",University of Arkansas Community College-Batesville,Certificate,Public,Town,Small,51%,$9k,$34k
"MEXICO, NY",Center for Instruction Technology & Innovation,Certificate,Public,Rural,Small,64%,$14k,
"WASHINGTON, DC",University of the District of Columbia,Four,Public,City,Medium,30%,$15k,$44k
"FAIRFIELD, CA",Solano Community College,Two,Public,Suburban,Medium,25%,$4k,$44k
"NASHVILLE, TN",Tennessee State University,Four,Public,City,Medium,39%,$10k,$43k
"SNYDER, TX",Western Texas College,Two,Public,Town,Small,26%,$4k,$43k
"SHAWNEE, OK",Gordon Cooper Technology Center,Certificate,Public,Town,Small,83%,$5k,$42k
"DAVIE, FL",William T McFatter Technical College,Certificate,Public,Suburban,Small,60%,$9k,$42k
"CHICAGO, IL",City Colleges of Chicago-Wilbur Wright College,Two,Public,City,Medium,26%,$3k,$42k
"PORT HURON, MI",St Clair County Community College,Two,Public,Suburban,Small,28%,$8k,$40k
"JOHNSTOWN, NY",Fulton-Montgomery Community College,Two,Public,Rural,Small,36%,$8k,$40k
"TEMPLE, TX",Temple College,Two,Public,City,Medium,20%,$7k,$39k
"ARKANSAS CITY, KS",Cowley County Community College,Certificate,Public,Town,Small,38%,$7k,$38k
"COALINGA, CA",Coalinga College,Two,Public,Town,Medium,27%,$9k,$38k
"CHATTANOOGA, TN",Chattanooga State Community College,Two,Public,City,Medium,25%,$6k,$38k
"DAYTON, OH",Sinclair Community College,Certificate,Public,City,Medium,26%,$6k,$38k
"SAN ANTONIO, TX",Palo Alto College,Two,Public,City,Medium,21%,$4k,$37k
"SPARTANBURG, SC",Spartanburg Community College,Two,Public,Suburban,Medium,26%,$7k,$37k
"SOUTH CHARLESTON, WV",BridgeValley Community & Technical College,Two,Public,Suburban,Small,38%,$5k,$36k
"YUBA CITY, CA",Sutter County Career Training Center,Certificate,Private For-Profit,City,Small,70%,$25k,$35k
"ROUND ROCK, TX",South University-Austin,Four,Private For-Profit,City,Small,28%,$25k,$34k
"COLUMBIA, SC",South University-Columbia,Four,Private For-Profit,Suburban,Small,30%,$23k,$34k
"ASTORIA, OR",Clatsop Community College,Two,Public,Town,Small,21%,$13k,$39k
"PITTSBURGH, PA",Community College of Allegheny County,Two,Public,City,Medium,23%,$8k,$39k
"BUFFALO, NY",Villa Maria College,Four,Private Nonprofit,City,Small,43%,$14k,$39k
"JOHNSTOWN, PA",Pennsylvania Highlands Community College,Two,Public,Rural,Small,37%,$7k,$39k
"WEST COLUMBIA, SC",Midlands Technical College,Two,Public,Suburban,Medium,20%,$5k,$39k
"WARNER, OK",Connors State College,Two,Public,Rural,Small,27%,$12k,$38k
"WILBERFORCE, OH",Wilberforce University,Four,Private Nonprofit,Rural,Small,23%,$7k,$38k
"OCALA, FL",College of Central Florida,Certificate,Public,City,Medium,42%,$12k,$38k
"SMITHFIELD, NC",Johnston Community College,Two,Public,Town,Medium,39%,$4k,$37k
"PHILADELPHIA, PA",Walnut Hill College,Two,Private For-Profit,City,Small,91%,$34k,$37k
"CLEVELAND, TN",Cleveland State Community College,Certificate,Public,City,Small,27%,$6k,$37k
"HIGH POINT, NC",South University-High Point,Four,Private For-Profit,City,Small,27%,$28k,$34k
"MONTGOMERY, AL",South University-Montgomery,Four,Private For-Profit,City,Small,29%,$25k,$34k
"GLEN ALLEN, VA",South University-Richmond,Four,Private For-Profit,Suburban,Small,32%,$26k,$34k
"SAVANNAH, GA",South University-Savannah,Four,Private For-Profit,City,Small,31%,$24k,$34k
"SAVANNAH, GA",South University-Savannah Online,Four,Private For-Profit,City,Medium,18%,$26k,$34k
"TAMPA, FL",South University-Tampa,Four,Private For-Profit,City,Small,44%,$24k,$34k
"VIRGINIA BEACH, VA",South University-Virginia Beach,Four,Private For-Profit,City,Small,30%,$24k,$34k
"ROYAL PALM BEACH, FL",South University-West Palm Beach,Four,Private For-Profit,Suburban,Small,40%,$20k,$34k
"STAFFORD, TX",North American University,Four,Private Nonprofit,Suburban,Small,39%,$18k,
"ROCKLIN, CA",Sierra College,Two,Public,Suburban,Medium,30%,$4k,$45k
"NORFOLK, VA",Norfolk State University,Four,Public,City,Medium,41%,$13k,$45k
"BERKELEY, CA",Berkeley City College,Two,Public,City,Medium,19%,$9k,$41k
"ABERDEEN, WA",Grays Harbor College,Two,Public,Rural,Small,40%,$3k,$41k
"PEARL CITY, HI",Leeward Community College,Two,Public,Suburban,Medium,28%,$8k,$40k
"LEESBURG, FL",Lake-Sumter State College,Two,Public,Suburban,Medium,34%,$6k,$40k
"HOUSTON, TX",College of Biblical Studies-Houston,Four,Private Nonprofit,City,Small,76%,$16k,$39k
"LA JUNTA, CO",Otero College,Certificate,Public,Town,Small,40%,$11k,$39k
"KANKAKEE, IL",Kankakee Community College,Certificate,Public,City,Small,29%,$5k,$39k
"BATTLE CREEK, MI",Kellogg Community College,Two,Public,City,Medium,14%,$5k,$38k
"EUGENE, OR",Lane Community College,Two,Public,Suburban,Medium,21%,$7k,$38k
"NELSONVILLE, OH",Hocking College,Two,Public,Rural,Small,28%,$13k,$38k
"WEST HILLS, CA",Valley College of Medical Careers,Certificate,Private For-Profit,City,Small,78%,$22k,$37k
"PUEBLO, CO",Pueblo Community College,Certificate,Public,City,Medium,30%,$11k,$37k
"MALVERN, AR",Arkansas State University Three Rivers,Certificate,Public,Town,Small,48%,$8k,$37k
"GALVESTON, TX",Galveston College,Certificate,Public,City,Small,33%,$8k,$37k
"UNION, MO",East Central College,Two,Public,Town,Small,30%,$13k,$37k
"SALISBURY, MD",Wor-Wic Community College,Two,Public,Rural,Medium,23%,$7k,$37k
"PORT CHARLOTTE, FL",Charlotte Technical College,Certificate,Public,Suburban,Small,87%,$10k,$36k
"FORT MYERS, FL",Southern Technical College,Certificate,Private For-Profit,City,Small,35%,$24k,$36k
"SANTA FE, NM",St. John's College,Four,Private Nonprofit,Rural,Small,65%,$24k,$45k
"SANTA MARIA, CA",Allan Hancock College,Two,Public,City,Medium,24%,$5k,$43k
"ATHENS, WV",Concord University,Four,Public,Rural,Small,44%,$10k,$43k
"ENTERPRISE, AL",Enterprise State Community College,Certificate,Public,Town,Small,22%,$8k,$43k
"CLEVELAND, OH",Cleveland Institute of Art,Four,Private Nonprofit,City,Small,62%,$41k,$43k
"FORT LAUDERDALE, FL",Broward College,Two,Public,City,Large,34%,$20k,$42k
"BUFFALO, NY",Erie Community College,Two,Public,City,Medium,31%,$6k,$41k
"PRESQUE ISLE, ME",University of Maine at Presque Isle,Four,Public,Rural,Small,47%,$10k,$41k
"SELLS, AZ",Tohono O'odham Community College,Two,Public,Rural,Small,15%,$4k,$39k
"CENTRALIA, IL",Kaskaskia College,Certificate,Public,Rural,Small,36%,$7k,$39k
"VENTURA, CA",Ventura Adult and Continuing Education,Certificate,Public,City,Small,76%,$10k,$38k
"JACKSONVILLE, FL",Trinity Baptist College,Four,Private Nonprofit,City,Small,29%,$19k,$37k
"EL RENO, OK",Redlands Community College,Two,Public,Town,Small,27%,$6k,$37k
"DEFUNIAK SPRINGS, FL",Emerald Coast Technical College,Certificate,Public,Town,Small,74%,$15k,$36k
"OWOSSO, MI",Baker College,Four,Private Nonprofit,Town,Medium,27%,$15k,$36k
"KINGMAN, AZ",Mohave Community College,Certificate,Public,Rural,Medium,18%,$7k,$36k
"MOUNTAIN HOME, AR",Arkansas State University-Mountain Home,Certificate,Public,Town,Small,46%,$10k,$34k
"SEATTLE, WA",Aveda Arts & Sciences Institute Seattle,Certificate,Private For-Profit,City,Small,80%,$31k,$32k
"CARMEL, IN",Aveda Fredric's Institute-Indianapolis,Certificate,Private For-Profit,City,Small,79%,$23k,$32k
"OCEAN, NJ",Medical Career Institute,Certificate,Private For-Profit,Suburban,Small,97%,,
"NORCO, CA",Norco College,Two,Public,Suburban,Medium,26%,$3k,$51k
"DETROIT, MI",College for Creative Studies,Four,Private Nonprofit,City,Small,59%,$33k,$45k
"HUNTINGTON BEACH, CA",Golden West College,Two,Public,Suburban,Medium,30%,$3k,$43k
"VALLEY GLEN, CA",Los Angeles Valley College,Two,Public,City,Medium,23%,$10k,$43k
"LAKE WORTH, FL",Palm Beach State College,Two,Public,Suburban,Large,39%,$10k,$42k
"WARREN, MI",Macomb Community College,Two,Public,City,Medium,18%,$6k,$42k
"CIRCLEVILLE, OH",Ohio Christian University,Four,Private Nonprofit,Rural,Small,29%,$22k,$40k
"ANN ARBOR, MI",Washtenaw Community College,Certificate,Public,Suburban,Medium,29%,$4k,$39k
"ELYRIA, OH",Lorain County Community College,Two,Public,Suburban,Medium,27%,$5k,$39k
"PITTSFIELD, MA",Berkshire Community College,Two,Public,Rural,Small,27%,$8k,$39k
"TYLER, TX",Tyler Junior College,Two,Public,City,Medium,29%,$10k,$38k
"ONTARIO, OR",Treasure Valley Community College,Certificate,Public,Town,Small,27%,$5k,$37k
"SEDALIA, MO",State Fair Community College,Two,Public,Town,Medium,31%,$7k,$36k
"ESCANABA, MI",Bay de Noc Community College,Two,Public,Town,Small,33%,$10k,$35k
"BEAUFORT, SC",Technical College of the Lowcountry,Certificate,Public,City,Small,20%,$6k,$35k
"SPRUCE PINE, NC",Mayland Community College,Certificate,Public,Rural,Small,37%,$5k,$35k
"MADISON, FL",North Florida College,Two,Public,Rural,Small,50%,$2k,$34k
"CLARKESVILLE, GA",North Georgia Technical College,Certificate,Public,Rural,Small,41%,$4k,$33k
"LILBURN, GA",Gwinnett College-Lilburn,Certificate,Private For-Profit,Suburban,Small,56%,$27k,$31k
"SAN LUIS OBISPO, CA",Laurus College,Two,Private For-Profit,City,Small,51%,$16k,$31k
"NEW ORLEANS, LA",Loyola University New Orleans,Four,Private Nonprofit,City,Medium,62%,$23k,$53k
"NEW YORK, NY",New York School of Interior Design,Certificate,Private Nonprofit,City,Small,61%,$41k,$48k
"STOCKTON, CA",San Joaquin Delta College,Two,Public,City,Medium,30%,$9k,$43k
"KENTFIELD, CA",College of Marin,Two,Public,Suburban,Medium,19%,$16k,$43k
"IRONWOOD, MI",Gogebic Community College,Two,Public,Town,Small,38%,$5k,$41k
"BRONX, NY",CUNY Hostos Community College,Two,Public,City,Medium,34%,$5k,$40k
"SACRAMENTO, CA",American River College,Two,Public,Suburban,Large,25%,$5k,$40k
"LAWTON, OK",Cameron University,Four,Public,City,Medium,27%,$11k,$40k
"KISSIMMEE, FL",Osceola Technical College,Certificate,Public,Suburban,Small,50%,$5k,$38k
"SPRINGFIELD, IL",Lincoln Land Community College,Certificate,Public,Rural,Medium,39%,$5k,$38k
"JACKSON, TN",Tennessee College of Applied Technology-Jackson,Certificate,Public,Rural,Small,75%,$10k,$38k
"MIDWEST CITY, OK",Rose State College,Two,Public,Suburban,Medium,18%,$11k,$38k
"DOWAGIAC, MI",Southwestern Michigan College,Two,Public,Rural,Small,31%,$6k,$37k
"LOS ANGELES, CA",CBD College,Two,Private Nonprofit,City,Small,83%,$21k,$37k
"GRANTS PASS, OR",Rogue Community College,Two,Public,Suburban,Medium,18%,$8k,$37k
"BEEBE, AR",Arkansas State University-Beebe,Two,Public,Town,Small,41%,$9k,$37k
"GLENNS, VA",Rappahannock Community College,Certificate,Public,Rural,Small,31%,$5k,$36k
"SIDNEY, MI",Montcalm Community College,Two,Public,Rural,Small,34%,$4k,$35k
"MORRILTON, AR",University of Arkansas Community College-Morrilton,Certificate,Public,Town,Small,37%,$12k,$35k
"UNION, SC",University of South Carolina-Union,Two,Public,Town,Small,21%,$11k,$34k
"WOODLAND HILLS, CA",Los Angeles Pierce College,Two,Public,City,Medium,27%,$11k,$45k
"BAYSIDE, NY",CUNY Queensborough Community College,Two,Public,City,Medium,32%,$5k,$44k
"BATON ROUGE, LA",Southern University and A & M College,Four,Public,City,Medium,38%,$20k,$43k
"PRESCOTT, AZ",Prescott College,Four,Private Nonprofit,City,Small,54%,$21k,$42k
"SPRINGDALE, AR",Ecclesia College,Four,Private Nonprofit,Rural,Small,22%,$24k,$41k
"AVON PARK, FL",South Florida State College,Two,Public,Suburban,Medium,52%,$4k,$40k
"TAFT, CA",Taft College,Two,Public,Town,Medium,11%,$3k,$39k
"OKLAHOMA CITY, OK",Metro Technology Centers,Certificate,Public,City,Small,48%,$7k,$39k
"LAKE CITY, FL",Florida Gateway College,Certificate,Public,Town,Medium,51%,$3k,$38k
"GLENDALE, CA",North-West College-Glendale,Certificate,Private For-Profit,City,Small,56%,$35k,$38k
"WEST COVINA, CA",North-West College-West Covina,Certificate,Private For-Profit,Suburban,Small,69%,$28k,$38k
"EAST PEORIA, IL",Illinois Central College,Two,Public,Suburban,Medium,37%,$12k,$37k
"DAYTONA BEACH, FL",Daytona State College,Two,Public,City,Medium,41%,$7k,$37k
"YUMA, AZ",Arizona Western College,Two,Public,City,Medium,23%,$10k,$37k
"TAMPA, FL",Schiller International University,Four,Private For-Profit,City,Small,47%,$25k,$36k
"HILLSBORO, OH",Southern State Community College,Two,Public,Town,Small,23%,$11k,$35k
"CLOVIS, CA",Institute of Technology,Certificate,Private For-Profit,Suburban,Small,62%,$23k,$35k
"CUYAHOGA FALLS, OH",Fortis College-Cuyahoga Falls,Certificate,Private For-Profit,Suburban,Small,54%,$26k,$35k
"SALT LAKE CITY, UT",Fortis College-Salt Lake City,Two,Private For-Profit,Suburban,Small,62%,$26k,$35k
"COOKEVILLE, TN",Fortis Institute-Cookeville,Two,Private For-Profit,Town,Small,59%,$24k,$35k
"ANNAPOLIS, MD",St. John's College,Four,Private Nonprofit,Suburban,Small,65%,$28k,$52k
"PETERSBURG, VA",Virginia State University,Four,Public,Suburban,Medium,48%,$15k,$46k
"BATON ROUGE, LA",Southern University Law Center,Four,Public,City,Small,,,$43k
"CHICAGO, IL",Chicago State University,Four,Public,City,Small,33%,$10k,$43k
"JEFFERSON, OH",Ashtabula County Technical and Career Campus,Certificate,Public,Rural,Small,61%,$10k,$42k
"BRYN ATHYN, PA",Bryn Athyn College of the New Church,Four,Private Nonprofit,Suburban,Small,44%,$20k,$40k
"WILBURTON, OK",Eastern Oklahoma State College,Two,Public,Rural,Small,24%,$11k,$39k
"KALAMAZOO, MI",Kalamazoo Valley Community College,Two,Public,Suburban,Medium,20%,$3k,$39k
"CHARLESTON, SC",Trident Technical College,Two,Public,City,Medium,24%,-$3k,$38k
"JAMESTOWN, NY",Jamestown Community College,Two,Public,Town,Small,37%,$10k,$38k
"TANNER, AL",John C Calhoun State Community College,Certificate,Public,City,Medium,29%,$7k,$38k
"BARNESVILLE, GA",Gordon State College,Two,Public,Town,Medium,24%,$9k,$38k
"IMMOKALEE, FL",Immokalee Technical College,Certificate,Public,Town,Small,79%,-$120,$38k
"TOCCOA FALLS, GA",Toccoa Falls College,Four,Private Nonprofit,Town,Small,49%,$20k,$37k
"WADLEY, AL",Southern Union State Community College,Certificate,Public,Rural,Medium,29%,$9k,$37k
"SPRINGFIELD, MO",Ozarks Technical Community College,Two,Public,City,Medium,29%,$7k,$36k
"ROME, GA",Georgia Northwestern Technical College,Certificate,Public,City,Medium,45%,$1k,$36k
"CENTERVILLE, OH",Fortis College-Centerville,Certificate,Private For-Profit,Suburban,Small,36%,$24k,$35k
"CUTLER BAY, FL",Fortis College-Cutler Bay,Two,Private For-Profit,Suburban,Small,59%,$26k,$35k
"INDIANAPOLIS, IN",Fortis College-Indianapolis,Certificate,Private For-Profit,City,Small,54%,$28k,$35k
"BRONXVILLE, NY",Sarah Lawrence College,Four,Private Nonprofit,Suburban,Small,76%,$21k,$54k
"SAVANNAH, GA",Savannah College of Art and Design,Four,Private Nonprofit,City,Medium,70%,$45k,$46k
"SAN FRANCISCO, CA",City College of San Francisco,Certificate,Public,City,Large,21%,$7k,$46k
"CRANFORD, NJ",UCNJ Union College of Union County NJ,Two,Public,Suburban,Medium,30%,$7k,$42k
"SAN PABLO, CA",Contra Costa College,Certificate,Public,Suburban,Medium,23%,$7k,$41k
"ALAMOGORDO, NM",New Mexico State University-Alamogordo,Two,Public,Rural,Small,20%,$6k,$39k
"LAS CRUCES, NM",New Mexico State University-Dona Ana,Two,Public,City,Medium,25%,$5k,$39k
"GRANTS, NM",New Mexico State University-Grants,Two,Public,Town,Small,27%,$8k,$39k
"LAS CRUCES, NM",New Mexico State University-Main Campus,Four,Public,Suburban,Medium,55%,$7k,$39k
"CHARLOTTE AMALIE, VI",University of the Virgin Islands,Four,Public,Rural,Small,34%,$8k,$39k
"KNOXVILLE, TN",Pellissippi State Community College,Two,Public,Suburban,Medium,34%,$5k,$38k
"BIG SPRING, TX",Howard College,Two,Public,Town,Small,30%,$8k,$38k
"BIG SPRING, TX",Southwest College for the Deaf,Two,Public,Town,Small,30%,$5k,$38k
"QUINCY, CA",Feather River Community College District,Two,Public,Rural,Small,18%,$7k,$38k
"CARNEYS POINT, NJ",Salem Community College,Two,Public,Suburban,Small,39%,$10k,$38k
"TORRINGTON, WY",Eastern Wyoming College,Two,Public,Town,Small,42%,$5k,$37k
"OBERLIN, OH",Lorain County Joint Vocational School District,Certificate,Public,Rural,Small,73%,$12k,$36k
"BECKLEY, WV",Academy of Careers and Technology,Certificate,Public,City,Small,79%,$3k,$33k
"HUNTSVILLE, TN",Tennessee College of Applied Technology-Oneida-Huntsville,Certificate,Public,Rural,Small,75%,$11k,$32k
"TUCSON, AZ",Pure Aesthetics Natural Skincare School,Certificate,Private For-Profit,City,Small,85%,$24k,
"MONTEREY PARK, CA",East Los Angeles College,Two,Public,Suburban,Large,26%,$10k,$42k
"OROVILLE, CA",Butte College,Two,Public,Rural,Medium,36%,$5k,$42k
"INSTITUTE, WV",West Virginia State University,Four,Public,Suburban,Small,39%,$10k,$40k
"NASHVILLE, TN",Nashville State Community College,Two,Public,City,Medium,23%,$6k,$39k
"LOUISVILLE, KY",Jefferson Community and Technical College,Certificate,Public,City,Medium,24%,$6k,$38k
"THATCHER, AZ",Eastern Arizona College,Certificate,Public,Town,Medium,28%,$10k,$38k
"ROCK HILL, SC",York Technical College,Certificate,Public,City,Medium,25%,$5k,$37k
"JOPLIN, MO",Franklin Technology Center Adult Education,Certificate,Public,City,Small,63%,$25k,$37k
"ELEANOR, WV",Putnam Career and Technical Center,Certificate,Public,Suburban,Small,74%,$5k,$36k
"BERLIN, NH",White Mountains Community College,Certificate,Public,Town,Small,44%,$17k,$35k
"AURORA, CO",Arizona College of Nursing-Aurora,Four,Private For-Profit,City,Small,,,$35k
"CINCINNATI, OH",Arizona College of Nursing-Cincinnati,Four,Private For-Profit,Suburban,Small,,,$35k
"BEACHWOOD, OH",Arizona College of Nursing-Cleveland,Four,Private For-Profit,Suburban,Small,,,$35k
"DALLAS, TX",Arizona College of Nursing-Dallas,Four,Private For-Profit,City,Small,,$33k,$35k
"FALLS CHURCH, VA",Arizona College of Nursing-Falls Church,Four,Private For-Profit,Suburban,Small,,$33k,$35k
"FORT LAUDERDALE, FL",Arizona College of Nursing-Fort Lauderdale,Four,Private For-Profit,City,Small,,$36k,$35k
"ALBUQUERQUE, NM",Brookline College-Albuquerque,Four,Private For-Profit,City,Small,61%,$40k,$30k
"PHOENIX, AZ",Brookline College-Phoenix,Four,Private For-Profit,City,Small,56%,,$30k
"TEMPE, AZ",Brookline College-Tempe,Two,Private For-Profit,City,Small,58%,$20k,$30k
"TUCSON, AZ",Brookline College-Tucson,Certificate,Private For-Profit,City,Small,59%,$21k,$30k
"ALAMEDA, CA",College of Alameda,Two,Public,Suburban,Medium,21%,$9k,$43k
"SACRAMENTO, CA",Cosumnes River College,Two,Public,City,Medium,20%,$5k,$42k
"WHITE PLAINS, NY",The College of Westchester,Two,Private For-Profit,City,Small,53%,$12k,$42k
"SAN BERNARDINO, CA",San Bernardino Valley College,Certificate,Public,City,Medium,23%,$8k,$40k
"CINCINNATI, OH",Fortis College-Cincinnati,Certificate,Private For-Profit,Suburban,Small,48%,$24k,$36k
"COLUMBIA, SC",Fortis College-Columbia,Certificate,Private For-Profit,City,Small,52%,$28k,$36k
"BOSTON, MA",Urban College of Boston,Certificate,Private Nonprofit,City,Small,23%,,$35k
"SAN DIEGO, CA",Ashford University,Four,Private For-Profit,City,Large,20%,$25k,$35k
"LAS VEGAS, NV",Arizona College of Nursing-Las Vegas,Four,Private For-Profit,Suburban,Small,21%,$33k,$35k
"ONTARIO, CA",Arizona College of Nursing-Ontario,Four,Private For-Profit,City,Small,,$40k,$35k
"PHOENIX, AZ",Arizona College of Nursing-Phoenix,Four,Private For-Profit,City,Small,,$34k,$35k
"MURRAY, UT",Arizona College of Nursing-Salt Lake City,Four,Private For-Profit,City,Small,,$32k,$35k
"UNIVERSITY PARK, FL",Arizona College of Nursing-Sarasota,Four,Private For-Profit,Suburban,Small,,,$35k
"SOUTHFIELD, MI",Arizona College of Nursing-Southfield,Four,Private For-Profit,City,Small,,$34k,$35k
"TAMPA, FL",Arizona College of Nursing-Tampa,Four,Private For-Profit,City,Small,,$31k,$35k
"TEMPE, AZ",Arizona College of Nursing-Tempe,Four,Private For-Profit,City,Small,,$32k,$35k
"TUCSON, AZ",Arizona College of Nursing-Tucson,Four,Private For-Profit,City,Small,,$29k,$35k
"GLENDALE, AZ",Arizona College-Glendale,Certificate,Private For-Profit,Suburban,Small,66%,$27k,$35k
"MESA, AZ",Arizona College-Mesa,Certificate,Private For-Profit,City,Small,69%,$27k,$35k
"SAINT AUGUSTINE, FL",First Coast Technical College,Certificate,Public,Suburban,Small,76%,$10k,$34k
"LINCOLN UNIVERSITY, PA",Lincoln University,Four,Public,Suburban,Small,49%,$13k,$43k
"DECATUR, GA",Gupton Jones College of Funeral Service,Two,Private Nonprofit,Suburban,Small,86%,$22k,$43k
"LONG ISLAND CITY, NY",CUNY LaGuardia Community College,Two,Public,City,Medium,36%,$6k,$42k
"RIVERSIDE, CA",Riverside City College,Two,Public,City,Large,29%,$4k,$41k
"DRYDEN, NY",Tompkins Cortland Community College,Two,Public,Rural,Small,34%,$13k,$41k
"MIAMI, FL",Miami Dade College,Two,Public,City,Large,37%,$6k,$41k
"LOCH SHELDRAKE, NY",Sullivan County Community College,Two,Public,Rural,Small,31%,$9k,$38k
"KILGORE, TX",Kilgore College,Two,Public,Town,Medium,32%,$7k,$38k
"SACRAMENTO, CA",Epic Bible College & Graduate School,Four,Private Nonprofit,Suburban,Small,14%,,$38k
"HICKORY, NC",Catawba Valley Community College,Two,Public,City,Medium,32%,$9k,$37k
"MCKENZIE, TN",Tennessee College of Applied Technology-McKenzie,Certificate,Public,Rural,Small,75%,$2k,$37k
"WESTERVILLE, OH",Fortis College-Columbus,Certificate,Private For-Profit,Suburban,Small,47%,$28k,$36k
"SMYRNA, GA",Fortis College-Smyrna,Certificate,Private For-Profit,Suburban,Small,55%,$25k,$36k
"TOWSON, MD",Fortis Institute-Towson,Certificate,Private For-Profit,City,Small,35%,$25k,$36k
"ASHEVILLE, NC",Asheville-Buncombe Technical Community College,Certificate,Public,City,Medium,33%,$13k,$36k
"BEMIDJI, MN",Oak Hills Christian College,Two,Private Nonprofit,Rural,Small,33%,$25k,$36k
