Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"SPRINGFIELD, IL",St. John's College-Department of Nursing,Four,Private Nonprofit,City,Small,97%,,$86k
"BETHLEHEM, PA",St Lukes Hospital School of Nursing,Certificate,Private Nonprofit,Suburban,Small,,,$80k
"LEXINGTON, VA",Virginia Military Institute,Four,Public,Town,Small,80%,$19k,$77k
"CHICAGO, IL",Rush University,Four,Private Nonprofit,City,Small,87%,,$75k
"READING, PA",Reading Hospital School of Health Sciences,Certificate,Private Nonprofit,City,Small,34%,$19k,$75k
"SAN ANTONIO, TX",Baptist Health System School of Health Professions,Two,Private For-Profit,City,Small,88%,,$74k
"LITTLE ROCK, AR",University of Arkansas for Medical Sciences,Four,Public,City,Small,81%,,$74k
"TARENTUM, PA",Citizens School of Nursing,Certificate,Private Nonprofit,Suburban,Small,73%,$26k,$70k
"SANDUSKY, OH",Firelands Regional Medical Center School of Nursing,Certificate,Private Nonprofit,City,Small,,,$69k
"OMAHA, NE",Clarkson College,Four,Private Nonprofit,City,Small,73%,$16k,$65k
"PAXTON, MA",Anna Maria College,Four,Private Nonprofit,Rural,Small,55%,$29k,$47k
"SAINT LOUIS, MO",University of Health Sciences and Pharmacy in St. Louis,Four,Private Nonprofit,City,Small,80%,$34k,$137k
"LOS ANGELES, CA",Los Angeles County College of Nursing and Allied Health,Two,Public,City,Small,82%,,$115k
"PITTSBURGH, PA",Carnegie Mellon University,Four,Private Nonprofit,City,Medium,91%,$32k,$115k
"PHILADELPHIA, PA",University of Pennsylvania,Four,Private Nonprofit,City,Medium,97%,$31k,$111k
"NEW YORK, NY",Helene Fuld College of Nursing,Two,Private Nonprofit,City,Small,60%,$38k,$111k
"WASHINGTON, DC",Georgetown University,Four,Private Nonprofit,City,Medium,94%,$39k,$103k
"CAMBRIDGE, MA",Harvard University,Four,Private Nonprofit,City,Medium,98%,$17k,$102k
"NEW HAVEN, CT",Yale University,Four,Private Nonprofit,City,Medium,97%,$28k,$101k
"BOSTON, MA",Northeastern University,Four,Private Nonprofit,City,Large,90%,$32k,$93k
"OAKLAND, CA",Northeastern University Oakland,Four,Private Nonprofit,City,Small,,,$93k
"BOSTON, MA",Northeastern University Professional Programs,Four,Private Nonprofit,City,Small,58%,,$93k
"FAIRFIELD, CT",Fairfield University,Four,Private Nonprofit,Suburban,Medium,82%,$46k,$89k
"BALTIMORE, MD",Johns Hopkins University,Four,Private Nonprofit,City,Medium,95%,$18k,$88k
"SAINT LOUIS, MO",Washington University in St Louis,Four,Private Nonprofit,Suburban,Medium,93%,$22k,$86k
"PHILADELPHIA, PA",Roxborough Memorial Hospital School of Nursing,Certificate,Private For-Profit,City,Small,,,$79k
"LUBBOCK, TX",Covenant School of Nursing and Allied Health,Certificate,Private Nonprofit,City,Small,,,$79k
"DAYTON, OH",University of Dayton,Four,Private Nonprofit,City,Medium,80%,$31k,$76k
"LINCOLN, NE",Bryan College of Health Sciences,Four,Private Nonprofit,City,Small,62%,$26k,$71k
"LANCASTER, PA",Pennsylvania College of Health Sciences,Two,Private Nonprofit,Rural,Small,66%,$37k,$70k
"HOFFMAN ESTATES, IL",Ambria College of Nursing,Two,Private For-Profit,Suburban,Small,48%,,$67k
"PASADENA, CA",California Institute of Technology,Four,Private Nonprofit,City,Small,94%,$19k,$129k
"STANFORD, CA",Stanford University,Four,Private Nonprofit,Suburban,Medium,97%,$12k,$124k
"PRINCETON, NJ",Princeton University,Four,Private Nonprofit,City,Medium,98%,$11k,$110k
"CLAREMONT, CA",Claremont McKenna College,Four,Private Nonprofit,Suburban,Small,92%,$27k,$105k
"ITHACA, NY",Cornell University,Four,Private Nonprofit,City,Large,96%,$32k,$104k
"CLEVELAND, OH",Case Western Reserve University,Four,Private Nonprofit,City,Medium,86%,$39k,$88k
"ENGLEWOOD CLIFFS, NJ",Holy Name Medical Center-Sister Claire Tynan School of Nursing,Certificate,Private Nonprofit,Suburban,Small,,$21k,$87k
"LAUREL, MD",Capitol Technology University,Four,Private Nonprofit,Suburban,Small,53%,$25k,$85k
"BOSTON, MA",Wentworth Institute of Technology,Four,Private Nonprofit,City,Medium,69%,$34k,$83k
"SPOKANE, WA",Gonzaga University,Four,Private Nonprofit,City,Medium,86%,$36k,$79k
"MILWAUKEE, WI",Marquette University,Four,Private Nonprofit,City,Medium,82%,$29k,$78k
"CLAREMONT, CA",Scripps College,Four,Private Nonprofit,Suburban,Small,85%,$39k,$78k
